timestamp,path,aliases,reference
1412304509,libavcodec/utils.c,,CVE-2014-8542
1412340403,libavcodec/mmvideo.c,,CVE-2014-8543
1412346786,libavcodec/tiff.c,,CVE-2014-8544
1412350635,libavcodec/pngdec.c,,CVE-2014-8545
1412357668,libavcodec/cinepak.c,,CVE-2014-8546
1412360423,libavcodec/gifdec.c,,CVE-2014-8547
1412369489,libavcodec/smc.c,,CVE-2014-8548
1412369489,libavcodec/smc.c,,CVE-2016-1528
1412385219,libavcodec/vorbisdec.c,libavcodec/vorbis_dec.c,CVE-2014-7937
1412453754,libavcodec/on2avc.c,,CVE-2014-8549
1416920060,libavcodec/mjpegdec.c,,CVE-2014-9316
1417014001,libavcodec/pngdec.c,,CVE-2014-9317
1417024877,libavcodec/rawdec.c,,CVE-2014-9318
1417143433,libavcodec/hevc_ps.c,,CVE-2014-9319
1418743665,libavcodec/vmdvideo.c,,CVE-2014-9603
1418753968,libavcodec/xface.h,,CVE-2014-9602
1418767204,libavcodec/utvideodec.c,libavcodec/utvideo.c,CVE-2014-9604
1418849745,libavcodec/h264.c,,CVE-2015-3417
1423079352,libavcodec/mjpegdec.c,,CVE-2015-1872
1427209646,libavcodec/msrledec.c,,CVE-2015-3395
1435606257,libavcodec/pngdec.c,,CVE-2015-6818
1435620805,libavcodec/mjpegdec.c,,CVE-2015-6819
1435710825,libavcodec/aacsbr.c,,CVE-2015-6820
1435710825,libavcodec/sbr.h,,CVE-2015-6820
1436474836,libavcodec/mpegvideo.c,,CVE-2015-6821
1436795269,libavcodec/alac.c,,CVE-2015-6823
1436796397,libavcodec/sanm.c,,CVE-2015-6822
1436983594,libswscale/utils.c,,CVE-2015-6824
1437041910,libavcodec/pthread_frame.c,,CVE-2015-6825
1437211697,libavcodec/rv34.c,,CVE-2015-6826
1443653926,libavcodec/vp8.c,,CVE-2015-6761
1446662013,libavcodec/mjpegdec.c,,CVE-2015-8216
1446732297,libavcodec/hevc_ps.c,,CVE-2015-8217
1446755774,libavcodec/faxcompr.c,,CVE-2015-8218
1446859024,libavcodec/jpeg2000dec.c,,CVE-2015-8219
1447459134,libavcodec/jpeg2000dec.c,,CVE-2015-8363
1447465032,libavcodec/ivi.c,libavcodec/ivi_common.c,CVE-2015-8364
