path,cve
gnu/usr.bin/perl/pod/perlrecharclass.pod,6.4_005
gnu/usr.bin/perl/t/lib/warnings/regcomp,6.4_005
gnu/usr.bin/perl/t/re/reg_mesg.t,6.4_005
gnu/usr.bin/perl/t/re/regex_sets.t,6.4_005
sys/arch/amd64/amd64/cpu.c,6.4_018
sys/arch/amd64/amd64/genassym.cf,6.4_018
sys/arch/amd64/amd64/identcpu.c,6.4_018
sys/arch/amd64/amd64/locore.S,6.4_018
sys/arch/amd64/amd64/mainbus.c,6.4_018
sys/arch/amd64/amd64/mds.S,6.4_018
sys/arch/amd64/amd64/vector.S,6.4_018
sys/arch/amd64/amd64/vmm.c,6.4_018
sys/arch/amd64/amd64/vmm_support.S,6.4_018
sys/arch/amd64/conf/Makefile.amd64,6.4_018
sys/arch/amd64/conf/files.amd64,6.4_018
sys/arch/amd64/include/codepatch.h,6.4_018
sys/arch/amd64/include/cpu.h,6.4_018
sys/arch/amd64/include/cpu_full.h,6.4_018
sys/arch/amd64/include/cpufunc.h,6.4_018
sys/arch/amd64/include/specialreg.h,6.4_018
sys/arch/amd64/include/vmmvar.h,6.4_018
xserver/hw/xfree86/common/xf86Init.c,6.4_001
gnu/usr.bin/cvs/lib/xsize.h,3.5_011
gnu/usr.bin/cvs/src/commit.c,3.5_011
gnu/usr.bin/cvs/src/cvs.h,3.5_011
gnu/usr.bin/cvs/src/filesubr.c,3.5_011
gnu/usr.bin/cvs/src/history.c,3.5_011
gnu/usr.bin/cvs/src/server.c,3.5_011
gnu/usr.bin/cvs/src/wrapper.c,3.5_011
gnu/usr.bin/cvs/src/server.c,3.5_007
libexec/login_radius/raddauth.c,3.5_020
sys/net/pfkeyv2.c,3.5_024
sbin/isakmpd/ike_phase_1.c,3.5_012
sbin/isakmpd/ike_quick_mode.c,3.5_012
sbin/isakmpd/ipsec.c,3.5_012
sbin/isakmpd/message.c,3.5_012
sbin/isakmpd/message.h,3.5_012
sys/arch/i386/i386/locore.s,3.5_028
usr.sbin/httpd/src/include/http_core.h,3.5_013
usr.sbin/httpd/src/include/httpd.h,3.5_013
usr.sbin/httpd/src/main/http_core.c,3.5_013
